CONUM,CONAME,PMK,MARGIN,LOG(PMK),LOG(MAR),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
78,Kallakurichi,9736,4104,3.988380565,3.613207352,AIADMK,Margin,PMK,438,154,கள்ளக்குறிச்சி,அ.இ.அ.தி.மு.க
79,Ponneri,9586,19336,3.981637425,4.286366637,AIADMK,Margin,PMK,443,156,பொன்னேரி,அ.இ.அ.தி.மு.க
80,Pallavaram,9339,22165,3.970300375,4.345667736,DMK,Margin,PMK,448,158,பல்லாவரம்,தி.மு.க
81,Vaniyambadi,9283,14526,3.96768835,4.16214604,AIADMK,Margin,PMK,453,160,வாணியம்பாடி,அ.இ.அ.தி.மு.க
82,Rishivandiyam,8148,20503,3.91105102,4.311817412,DMK,Margin,PMK,458,162,ரிஷிவந்தியம்,தி.மு.க
83,Kumbakonam,8048,8457,3.905687968,3.927216331,DMK,Margin,PMK,463,164,கும்பக்கோணம்,தி.மு.க
84,Salem (North),7975,9873,3.901730692,3.994449137,DMK,Margin,PMK,468,166,சேலம் (வடக்கு),தி.மு.க
85,Tiruvannamalai,7916,50348,3.898505786,4.701982224,DMK,Margin,PMK,473,168,திருவண்ணாமலை,தி.மு.க
86,Tambaram,7631,14445,3.882581454,4.159717546,DMK,Margin,PMK,478,170,தாம்பரம்,தி.மு.க
87,Gudiyattam,7505,11470,3.875350697,4.059563418,AIADMK,Margin,PMK,483,172,குடியாத்தம்,அ.இ.அ.தி.மு.க
88,Alandur,7194,19169,3.856970433,4.282599457,DMK,Margin,PMK,488,174,ஆலந்தூர்,தி.மு.க
89,Rasipuram,6952,9631,3.842109763,3.983671383,AIADMK,Margin,PMK,493,176,இராசிபுரம்,அ.இ.அ.தி.மு.க
90,Velachery,6809,8872,3.833083334,3.948021533,DMK,Margin,PMK,498,178,வேளச்சேரி,தி.மு.க
91,Salem (South),6325,30453,3.80106053,4.483630082,AIADMK,Margin,PMK,503,180,சேலம் (தெற்கு),அ.இ.அ.தி.மு.க
92,Saidapet,5913,16255,3.771807879,4.210986974,DMK,Margin,PMK,508,182,சைதாப்பேட்டை,தி.மு.க
93,Mylapore,5806,14728,3.763877031,4.168143775,AIADMK,Margin,PMK,513,184,மைலாப்பூர்,அ.இ.அ.தி.மு.க
94,Anna Nagar,5619,1687,3.749659032,3.227115083,DMK,Margin,PMK,518,186,அண்ணா நகர்,தி.மு.க
95,Alangudi,5514,9941,3.741466762,3.997430074,DMK,Margin,PMK,523,188,ஆலங்குடி,தி.மு.க
96,Veppanahalli,5476,5228,3.738463439,3.718335579,DMK,Margin,PMK,528,190,வேப்பனஹள்ளி,தி.மு.க
97,Thalli,5253,6245,3.720407401,3.795532443,DMK,Margin,PMK,533,192,தளி,தி.மு.க
98,Vellore,5185,26210,3.714748761,4.418467021,DMK,Margin,PMK,538,194,வேலூர்,தி.மு.க
99,Thiyagarayanagar,5071,3155,3.705093611,3.498999364,AIADMK,Margin,PMK,543,196,தியாகராயநகர்,அ.இ.அ.தி.மு.க
100,Nannilam,5060,21276,3.704150517,4.327889982,DMK,Margin,PMK,548,198,நன்னிலம்,அ.இ.அ.தி.மு.க
101,Papanasam,4963,24365,3.695744275,4.386766416,DMK,Margin,PMK,553,200,பாபநாசம்,அ.இ.அ.தி.மு.க
102,Ambur,4643,28006,3.666798684,4.447251084,AIADMK,Margin,PMK,558,202,ஆம்பூர்,அ.இ.அ.தி.மு.க
103,Perambalur,4222,6853,3.625518229,3.835880732,DMK,Margin,PMK,563,204,பெரம்பலூர்,அ.இ.அ.தி.மு.க
