CONUM,CONAME,PMK,MARGIN,LOG(PMK),LOG(MAR),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
197,Pollachi,747,13368,2.873320602,4.126066437,AIADMK,Margin,PMK,1033,392,பொள்ளாச்சி,அ.இ.அ.தி.மு.க
198,Melur,746,19723,2.872738827,4.294972975,AIADMK,Margin,PMK,1038,394,மேலூர்,அ.இ.அ.தி.மு.க
199,Lalgudi,745,3837,2.872156273,3.583991799,DMK,Margin,PMK,1043,396,லால்குடி,தி.மு.க
200,Kanniyakumari,712,5912,2.852479994,3.771734425,INC,Margin,PMK,1048,398,கன்னியாக்குமரி,தி.மு.க
201,Tiruppattur,706,42004,2.848804701,4.62329065,INC,Margin,PMK,1053,400,திருப்பத்தூர்,தி.மு.க
202,Paramakudi,690,11389,2.838849091,4.056485593,DMK,Margin,PMK,1058,402,பரமக்குடி,அ.இ.அ.தி.மு.க
203,Gudalur,684,13379,2.835056102,4.126423654,DMK,Margin,PMK,1063,404,கூடலூர்,தி.மு.க
204,Alangulam,674,4754,2.828659897,3.677059177,IUML,Margin,PMK,1068,406,ஆலங்குளம்,தி.மு.க
205,Athoor,671,27147,2.82672252,4.433721843,DMK,Margin,PMK,1073,408,ஆத்தூர் (திண்டுக்கல்),தி.மு.க
206,Pudukkottai,667,2084,2.824125834,3.318897715,AIADMK,Margin,PMK,1078,410,புதுக்கோட்டை,தி.மு.க
207,Nanguneri,660,17315,2.819543936,4.238422496,AIADMK,Margin,PMK,1083,412,நாங்குநேரி,இ.தே.க
208,Manamadurai,647,14889,2.810904281,4.17286553,AIADMK,Margin,PMK,1088,414,மானாமதுரை,அ.இ.அ.தி.மு.க
209,Sankarankovil,645,14489,2.809559715,4.161038412,AIADMK,Margin,PMK,1093,416,சங்கரன்கோவில்,அ.இ.அ.தி.மு.க
210,Aranthangi,626,2291,2.796574333,3.360025089,DMK,Margin,PMK,1098,418,அறந்தாங்கி,அ.இ.அ.தி.மு.க
211,Usilampatti,619,32906,2.791690649,4.517275093,AIADMK,Margin,PMK,1103,420,உசிலம்பட்டி,அ.இ.அ.தி.மு.க
212,Killiyoor,615,46295,2.788875116,4.665534088,DMK,Margin,PMK,1108,422,கிள்ளியூர்,இ.தே.க
213,Valparai,580,8244,2.763427994,3.916137983,AIADMK,Margin,PMK,1113,424,வால்பாறை,அ.இ.அ.தி.மு.க
214,Tiruchendur,578,26001,2.761927838,4.414990051,AIADMK,Margin,PMK,1118,426,திருச்செந்தூர்,தி.மு.க
215,Vilathikulam,560,18718,2.748188027,4.272259443,AIADMK,Margin,PMK,1123,428,விளாத்திகுளம்,அ.இ.அ.தி.மு.க
216,Virudhunagar,556,2870,2.745074792,3.457881897,AIADMK,Margin,PMK,1128,430,விருதுநகர்,தி.மு.க
217,Gandharvakottai,530,3047,2.72427587,3.483872454,AIADMK,Margin,PMK,1133,432,கந்தர்வகோட்டை,அ.இ.அ.தி.மு.க
218,Nagercoil,527,20956,2.721810615,4.32130839,AIADMK,Margin,PMK,1138,434,நாகர்கோவில்,தி.மு.க
219,Tiruvadanai,522,8696,2.717670503,3.939319531,AIADMK,Margin,PMK,1143,436,திரவாடாணை,அ.இ.அ.தி.மு.க
220,Radhapuram,501,49,2.699837726,1.69019608,DMK,Margin,PMK,1148,438,ராதாபுரம்,அ.இ.அ.தி.மு.க
221,Palani,490,25586,2.69019608,4.408002396,DMK,Margin,PMK,1153,440,பழனி,தி.மு.க
222,Vedasandur,480,19938,2.681241237,4.299681592,AIADMK,Margin,PMK,1158,442,வேடச்சந்தூர்,அ.இ.அ.தி.மு.க
223,Coonoor,469,3710,2.671172843,3.56937391,AIADMK,Margin,PMK,1163,444,குன்னூர்,அ.இ.அ.தி.மு.க
224,Peravurani,421,995,2.624282096,2.997823081,AIADMK,Margin,PMK,1168,446,பேராவூரணி,அ.இ.அ.தி.மு.க
225,Viralimalai,415,8447,2.618048097,3.926702494,AIADMK,Margin,PMK,1173,448,விராலிமலை,அ.இ.அ.தி.மு.க
226,Padmanabhapuram,410,40905,2.612783857,4.611776397,DMK,Margin,PMK,1178,450,பத்மனாபபுரம்,தி.மு.க
227,Bodinayakanur,405,15608,2.607455023,4.193347256,AIADMK,Margin,PMK,1183,452,போடிநாயக்கனூர்,அ.இ.அ.தி.மு.க
228,Vilavancode,398,33143,2.599883072,4.520391817,INC,Margin,PMK,1188,454,விளவங்கோடு,இ.தே.க
229,Oddanchatram,367,65727,2.564666064,4.81774381,DMK,Margin,PMK,1193,456,ஒட்டன்சாத்திரம்,தி.மு.க
