CONUM,CONAME,MARGIN,NOTA,LOG(MAR),LOG(NOTA),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
70,Veerapandi,14481,2828,4.16,3.45,AIADMK,Margin,Nota,398,138,வீரப்பாண்டி,அ.இ.அ.தி.மு.க
71,Rasipuram,9631,2795,3.98,3.45,AIADMK,Margin,Nota,403,140,இராசிபுரம்,அ.இ.அ.தி.மு.க
72,Dindigul,20719,2783,4.32,3.44,AIADMK,Margin,Nota,408,142,திண்டுக்கல்,அ.இ.அ.தி.மு.க
73,Vasudevanallur,18758,2763,4.27,3.44,AIADMK,Margin,Nota,413,144,வாசுதேவநல்லூர்,அ.இ.அ.தி.மு.க
74,Madurai West,16398,2759,4.21,3.44,AIADMK,Margin,Nota,418,146,மதுரை (மேற்கு),அ.இ.அ.தி.மு.க
75,Gobichettipalayam,11223,2751,4.05,3.44,AIADMK,Margin,Nota,423,148,கோபிசெட்டிப்பாளையம்,அ.இ.அ.தி.மு.க
76,Attur,17334,2742,4.24,3.44,AIADMK,Margin,Nota,428,150,ஆத்தூர் (சேலம்),அ.இ.அ.தி.மு.க
77,Bhavani,24887,2716,4.4,3.43,AIADMK,Margin,Nota,433,152,பவானி,அ.இ.அ.தி.மு.க
78,Modakkurichi,2222,2715,3.35,3.43,AIADMK,Margin,Nota,438,154,மொடக்குறிச்சி,அ.இ.அ.தி.மு.க
79,Sivakasi,14748,2704,4.17,3.43,AIADMK,Margin,Nota,443,156,சிவகாசி,அ.இ.அ.தி.மு.க
80,Karaikudi,18283,2688,4.26,3.43,INC,Margin,Nota,448,158,காரைக்குடி,இ.தே.க
81,Thiru-Vi-Ka-Nagar,3322,2685,3.52,3.43,DMK,Margin,Nota,453,160,திரு.வி.க நகர்,தி.மு.க
82,Madurai Central,5762,2683,3.76,3.43,DMK,Margin,Nota,458,162,மதுரை (மத்தி),தி.மு.க
83,Thiruverumbur,16695,2676,4.22,3.43,DMK,Margin,Nota,463,164,திருவெறும்பூர்,தி.மு.க
84,Senthamangalam,12333,2664,4.09,3.43,AIADMK,Margin,Nota,468,166,சேந்தமங்கலம்,அ.இ.அ.தி.மு.க
85,Ottapidaram,493,2612,2.69,3.42,AIADMK,Margin,Nota,473,168,ஒட்டப்பிடாரம்,அ.இ.அ.தி.மு.க
86,Kumbakonam,8457,2593,3.93,3.41,DMK,Margin,Nota,478,170,கும்பக்கோணம்,தி.மு.க
87,Aruppukkottai,18054,2509,4.26,3.4,DMK,Margin,Nota,483,172,அரப்புக்கோட்டை,தி.மு.க
88,Katpadi,23946,2492,4.38,3.4,DMK,Margin,Nota,488,174,காட்பாடி,தி.மு.க
89,Musiri,32087,2485,4.51,3.4,AIADMK,Margin,Nota,493,176,முசிறி,அ.இ.அ.தி.மு.க
90,Thalli,6245,2450,3.8,3.39,DMK,Margin,Nota,498,178,தளி,தி.மு.க
91,Tiruppur (South),15933,2445,4.2,3.39,AIADMK,Margin,Nota,503,180,திருப்பூர் (தெற்கு),அ.இ.அ.தி.மு.க
92,Thuraiyur,8068,2441,3.91,3.39,DMK,Margin,Nota,508,182,துரையூர்,தி.மு.க
93,Vandavasi,18068,2421,4.26,3.38,DMK,Margin,Nota,513,184,வந்தவாசி,தி.மு.க
94,Vellore,26210,2400,4.42,3.38,DMK,Margin,Nota,518,186,வேலூர்,தி.மு.க
95,Kovilpatti,428,2350,2.63,3.37,AIADMK,Margin,Nota,523,188,கோவில்பட்டி,அ.இ.அ.தி.மு.க
96,Royapuram,8031,2348,3.9,3.37,AIADMK,Margin,Nota,528,190,ராயப்புரம்,அ.இ.அ.தி.மு.க
97,Gingee,22057,2326,4.34,3.37,DMK,Margin,Nota,533,192,செஞ்சி,தி.மு.க
98,Rajapalayam,4802,2290,3.68,3.36,DMK,Margin,Nota,538,194,ராஜப்பாளையம்,தி.மு.க
99,Ponneri,19336,2284,4.29,3.36,AIADMK,Margin,Nota,543,196,பொன்னேரி,அ.இ.அ.தி.மு.க
100,Coonoor,3710,2283,3.57,3.36,AIADMK,Margin,Nota,548,198,குன்னூர்,அ.இ.அ.தி.மு.க
101,Tiruchengodu,3390,2279,3.53,3.36,AIADMK,Margin,Nota,553,200,திருச்செங்கோடு,அ.இ.அ.தி.மு.க
102,Periyakulam,14350,2275,4.16,3.36,AIADMK,Margin,Nota,558,202,பெரியக்குளம்,அ.இ.அ.தி.மு.க
103,Manachanallur,7522,2274,3.88,3.36,AIADMK,Margin,Nota,563,204,மண்ணச்சநல்லூர்,அ.இ.அ.தி.மு.க
104,Sankarankovil,14489,2259,4.16,3.35,AIADMK,Margin,Nota,568,206,சங்கரன்கோவில்,அ.இ.அ.தி.மு.க
105,Vedasandur,19938,2256,4.3,3.35,AIADMK,Margin,Nota,573,208,வேடச்சந்தூர்,அ.இ.அ.தி.மு.க
106,Vridhachalam,13777,2255,4.14,3.35,AIADMK,Margin,Nota,578,210,விருதாச்சலம்,அ.இ.அ.தி.மு.க
107,Pollachi,13368,2254,4.13,3.35,AIADMK,Margin,Nota,583,212,பொள்ளாச்சி,அ.இ.அ.தி.மு.க
108,Dharmapuri,9676,2251,3.99,3.35,DMK,Margin,Nota,588,214,தர்மபுரி,தி.மு.க
109,Cheyyar,8527,2248,3.93,3.35,AIADMK,Margin,Nota,593,216,செய்யாறு,அ.இ.அ.தி.மு.க
110,Gudiyattam,11470,2241,4.06,3.35,AIADMK,Margin,Nota,598,218,குடியாத்தம்,அ.இ.அ.தி.மு.க
111,Cumbum,11221,2219,4.05,3.35,AIADMK,Margin,Nota,603,220,கம்பம்,அ.இ.அ.தி.மு.க
112,Tirunelveli,601,2218,2.78,3.35,DMK,Margin,Nota,608,222,திருநெல்வேலி,தி.மு.க
113,Valparai,8244,2206,3.92,3.34,AIADMK,Margin,Nota,613,224,வால்பாறை,அ.இ.அ.தி.மு.க
114,Manamadurai,14889,2193,4.17,3.34,AIADMK,Margin,Nota,618,226,மானாமதுரை,அ.இ.அ.தி.மு.க
115,Nannilam,21276,2182,4.33,3.34,AIADMK,Margin,Nota,623,228,நன்னிலம்,அ.இ.அ.தி.மு.க
116,Thiruvarur,68366,2177,4.83,3.34,DMK,Margin,Nota,628,230,திருவாரூர்,தி.மு.க
117,Srivilliputhur,36673,2166,4.56,3.34,AIADMK,Margin,Nota,633,232,திருவில்லிபுத்தூர்,அ.இ.அ.தி.மு.க
118,Madathukulam,1667,2147,3.22,3.33,DMK,Margin,Nota,638,234,மடத்துக்குளம்,தி.மு.க
119,Ranipet,7896,2121,3.9,3.33,DMK,Margin,Nota,643,236,ராணிப்பேட்டை,தி.மு.க
120,Thiruporur,950,2116,2.98,3.33,AIADMK,Margin,Nota,648,238,திருப்போரூர்,அ.இ.அ.தி.மு.க
121,Thirumayam,766,2114,2.88,3.33,DMK,Margin,Nota,653,240,திருமயம்,தி.மு.க
122,Tindivanam,101,2112,2,3.32,DMK,Margin,Nota,658,242,திண்டிவனம்,தி.மு.க
123,Tirukkoyilur,41057,2110,4.61,3.32,DMK,Margin,Nota,663,244,திருக்கோயிலூர்,தி.மு.க
124,Athoor,27147,2105,4.43,3.32,DMK,Margin,Nota,668,246,ஆத்தூர் (திண்டுக்கல்),தி.மு.க
125,Harbour,4836,2101,3.68,3.32,DMK,Margin,Nota,673,248,துறைமுகம்,தி.மு.க
126,Harur,11421,2092,4.06,3.32,AIADMK,Margin,Nota,678,250,அரூர் ,அ.இ.அ.தி.மு.க
127,Alangulam,4754,2089,3.68,3.32,DMK,Margin,Nota,683,252,ஆலங்குளம்,தி.மு.க
128,Pennagaram,18446,2081,4.27,3.32,DMK,Margin,Nota,688,254,பெண்ணாகரம்,தி.மு.க
129,Tiruttani,23141,2076,4.36,3.32,AIADMK,Margin,Nota,693,256,திருத்தனி,அ.இ.அ.தி.மு.க
130,Cuddalore,24413,2062,4.39,3.31,AIADMK,Margin,Nota,698,258,கடலூர்,அ.இ.அ.தி.மு.க
131,Arakkonam,4161,2049,3.62,3.31,AIADMK,Margin,Nota,703,260,அரக்கோணம்,அ.இ.அ.தி.மு.க
132,Ambasamudram,13166,2041,4.12,3.31,AIADMK,Margin,Nota,708,262,அம்பசமுத்திரம்,அ.இ.அ.தி.மு.க
133,Arcot,11091,2004,4.04,3.3,DMK,Margin,Nota,713,264,ஆற்காடு,தி.மு.க
134,Perundurai,12771,1991,4.11,3.3,AIADMK,Margin,Nota,718,266,பெருந்துறை,அ.இ.அ.தி.மு.க
135,Kilvaithinankuppam,9746,1990,3.99,3.3,AIADMK,Margin,Nota,723,268,கீழ்வைத்தனன் குப்பம்,அ.இ.அ.தி.மு.க
136,Panruti,3128,1988,3.5,3.3,AIADMK,Margin,Nota,728,270,பண்ரூட்டி,அ.இ.அ.தி.மு.க
137,Thiruvaiyaru,14343,1987,4.16,3.3,DMK,Margin,Nota,733,272,திருவைய்யாறு,தி.மு.க
138,Kadayanallur,1194,1969,3.08,3.29,IUML,Margin,Nota,738,274,கடையநல்லூர்,இ.ஒ.மு.லீ
139,Bodinayakanur,15608,1966,4.19,3.29,AIADMK,Margin,Nota,743,276,போடிநாயக்கனூர்,அ.இ.அ.தி.மு.க
140,Tittagudi (SC),2212,1957,3.34,3.29,DMK,Margin,Nota,748,278,திட்டக்குடி (தனி),தி.மு.க
141,Lalgudi,3837,1953,3.58,3.29,DMK,Margin,Nota,753,280,லால்குடி,தி.மு.க
142,Jayankondam,22934,1950,4.36,3.29,AIADMK,Margin,Nota,758,282,ஜெயங்கொண்டம்,அ.இ.அ.தி.மு.க
143,Tiruppattur,42004,1939,4.62,3.29,DMK,Margin,Nota,763,284,திருப்பத்தூர்,தி.மு.க
144,Sholavandan,24857,1930,4.4,3.29,AIADMK,Margin,Nota,768,286,சோழவந்தான்,அ.இ.அ.தி.மு.க
145,Edappadi,42022,1913,4.62,3.28,AIADMK,Margin,Nota,773,288,எடப்பாடி,அ.இ.அ.தி.மு.க
146,Papanasam,24365,1911,4.39,3.28,AIADMK,Margin,Nota,778,290,பாபநாசம்,அ.இ.அ.தி.மு.க
147,Andipatti,30196,1909,4.48,3.28,AIADMK,Margin,Nota,783,292,ஆண்டிப்பட்டி,அ.இ.அ.தி.மு.க
148,Kulithalai,11896,1906,4.08,3.28,DMK,Margin,Nota,788,294,குளித்தலை,தி.மு.க
149,Thiruvidaimarudur,532,1899,2.73,3.28,DMK,Margin,Nota,793,296,திருவிடைமருதூர்,தி.மு.க
150,Ariyalur,2043,1896,3.31,3.28,AIADMK,Margin,Nota,798,298,அரியலூர்,அ.இ.அ.தி.மு.க
151,Orathanadu,3645,1882,3.56,3.27,DMK,Margin,Nota,803,300,ஒரத்தநாடு,தி.மு.க
152,Palacode,5983,1880,3.78,3.27,AIADMK,Margin,Nota,808,302,பாலக்கோடு,அ.இ.அ.தி.மு.க
153,Krishnagiri,4891,1855,3.69,3.27,DMK,Margin,Nota,813,304,கிருஷ்ணகிரி,தி.மு.க
154,Natham,2110,1844,3.32,3.27,DMK,Margin,Nota,818,306,நத்தம்,தி.மு.க
155,Mettur,6282,1829,3.8,3.26,AIADMK,Margin,Nota,823,308,மேட்டூர்,அ.இ.அ.தி.மு.க
156,Cheyyur,304,1827,2.48,3.26,DMK,Margin,Nota,828,310,செய்யூர்,தி.மு.க
