CONUM,CONAME,MARGIN,NOTA,LOG(MAR),LOG(NOTA),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
209,Padmanabhapuram,40905,1359,4.61,3.13,DMK,Margin,Nota,1093,416,பத்மனாபபுரம்,தி.மு.க
210,Tiruchuli,26577,1328,4.42,3.12,DMK,Margin,Nota,1098,418,திருச்சுழி,தி.மு.க
211,Peravurani,995,1294,3,3.11,AIADMK,Margin,Nota,1103,420,பேராவூரணி,அ.இ.அ.தி.மு.க
212,Oddanchatram,65727,1274,4.82,3.11,DMK,Margin,Nota,1108,422,ஒட்டன்சாத்திரம்,தி.மு.க
213,Anaikattu,8768,1237,3.94,3.09,DMK,Margin,Nota,1113,424,அணைக்கட்டு,தி.மு.க
214,Polur,8273,1230,3.92,3.09,DMK,Margin,Nota,1118,426,போளூர்,தி.மு.க
215,Vedaranyam,22998,1206,4.36,3.08,AIADMK,Margin,Nota,1123,428,வேதாரண்யம்,அ.இ.அ.தி.மு.க
216,Tirupattur,7647,1193,3.88,3.08,DMK,Margin,Nota,1128,430,திருப்பத்தூர் - (சிவகங்கை),தி.மு.க
217,Kilpennathur,34666,1164,4.54,3.07,DMK,Margin,Nota,1133,432,கீழ்பெண்ணாத்தூர்,தி.மு.க
218,Vilavancode,33143,1149,4.52,3.06,INC,Margin,Nota,1138,434,விளவங்கோடு,இ.தே.க
219,Killiyoor,46295,1142,4.67,3.06,INC,Margin,Nota,1143,436,கிள்ளியூர்,இ.தே.க
220,Bhuvanagiri,5488,1132,3.74,3.05,DMK,Margin,Nota,1148,438,புவனகிரி,தி.மு.க
221,Alangudi,9941,1068,4,3.03,DMK,Margin,Nota,1153,440,ஆலங்குடி,தி.மு.க
222,Mudhukulathur,13348,1059,4.13,3.02,INC,Margin,Nota,1158,442,முதுகுளத்தூர்,இ.தே.க
223,Kilvelur,10170,1049,4.01,3.02,DMK,Margin,Nota,1163,444,கீழ்வேளூர்,தி.மு.க
224,Sankarapuram,14528,1032,4.16,3.01,DMK,Margin,Nota,1168,446,சங்கராப்புரம்,தி.மு.க
225,Kattumannarkoil(SC),87,1025,1.94,3.01,AIADMK,Margin,Nota,1173,448,காட்டுமன்னார்கோவில் (தனி),அ.இ.அ.தி.மு.க
226,Nagapattinam,20550,996,4.31,3,AIADMK,Margin,Nota,1178,450,நாகப்பட்டினம்,அ.இ.அ.தி.மு.க
227,Viralimalai,8447,974,3.93,2.99,AIADMK,Margin,Nota,1183,452,விராலிமலை,அ.இ.அ.தி.மு.க
228,Tiruvadanai,8696,939,3.94,2.97,AIADMK,Margin,Nota,1188,454,திரவாடாணை,அ.இ.அ.தி.மு.க
229,Rishivandiyam,20503,867,4.31,2.94,DMK,Margin,Nota,1193,456,ரிஷிவந்தியம்,தி.மு.க
230,Ulundurpettai,4164,829,3.62,2.92,AIADMK,Margin,Nota,1198,458,உளுந்தூர்பேட்டை,அ.இ.அ.தி.மு.க
231,Aranthangi,2291,775,3.36,2.89,AIADMK,Margin,Nota,2003,460,அறந்தாங்கி,அ.இ.அ.தி.மு.க
232,Melur,19723,757,4.29,2.88,AIADMK,Margin,Nota,2008,462,மேலூர்,அ.இ.அ.தி.மு.க
