CONUM,CONAME,MARGIN,3F,LOG(MAR),LOG(3F),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
187,Thiru-Vi-Ka-Nagar,3322,5702,3.521399628,3.756027213,DMK,Margin,ThirdFront,983,372,திரு.வி.க நகர்,தி.மு.க
188,Srirangam,14409,5646,4.158633841,3.751740874,AIADMK,Margin,ThirdFront,988,374,ஸ்ரீரங்கம்,அ.இ.அ.தி.மு.க
189,Sankari,37374,5633,4.572569581,3.750739751,AIADMK,Margin,ThirdFront,993,376,சங்ககிரி,அ.இ.அ.தி.மு.க
190,Pennagaram,18446,5624,4.265902204,3.750045312,DMK,Margin,ThirdFront,998,378,பெண்ணாகரம்,தி.மு.க
191,Senthamangalam,12333,5609,4.091068732,3.74888544,AIADMK,Margin,ThirdFront,1003,380,சேந்தமங்கலம்,அ.இ.அ.தி.மு.க
192,Ponneri,19336,5566,4.286366637,3.745543202,AIADMK,Margin,ThirdFront,1008,382,பொன்னேரி,அ.இ.அ.தி.மு.க
193,Chepauk-Thiruvallikeni,14164,5507,4.151185918,3.740915076,DMK,Margin,ThirdFront,1013,384,சேப்பாக்கம்,தி.மு.க
194,Edappadi,42022,5437,4.623476718,3.735359333,AIADMK,Margin,ThirdFront,1018,386,எடப்பாடி,அ.இ.அ.தி.மு.க
195,Arcot,11091,5387,4.044970705,3.731346976,DMK,Margin,ThirdFront,1023,388,ஆற்காடு,தி.மு.க
196,Saidapet,16255,5221,4.210986974,3.717753693,DMK,Margin,ThirdFront,1028,390,சைதாப்பேட்டை,தி.மு.க
197,Arakkonam,4161,5213,3.619197716,3.717087725,AIADMK,Margin,ThirdFront,1033,392,அரக்கோணம்,அ.இ.அ.தி.மு.க
198,Thirumayam,766,5096,2.88422877,3.707229419,DMK,Margin,ThirdFront,1038,394,திருமயம்,தி.மு.க
199,Tiruvannamalai,50348,5075,4.701982224,3.705436047,DMK,Margin,ThirdFront,1043,396,திருவண்ணாமலை,தி.மு.க
200,Polur,8273,5000,3.917663024,3.698970004,DMK,Margin,ThirdFront,1048,398,போளூர்,தி.மு.க
201,Palacode,5983,4915,3.776919003,3.691523522,AIADMK,Margin,ThirdFront,1053,400,பாலக்கோடு,அ.இ.அ.தி.மு.க
202,Tiruvadanai,8696,4913,3.939319531,3.691346764,AIADMK,Margin,ThirdFront,1058,402,திரவாடாணை,அ.இ.அ.தி.மு.க
203,Pollachi,13368,4893,4.126066437,3.689575216,AIADMK,Margin,ThirdFront,1063,404,பொள்ளாச்சி,அ.இ.அ.தி.மு.க
204,Modakkurichi,2222,4853,3.346744055,3.686010291,AIADMK,Margin,ThirdFront,1068,406,மொடக்குறிச்சி,அ.இ.அ.தி.மு.க
205,Mylapore,14728,4753,4.168143775,3.676967814,AIADMK,Margin,ThirdFront,1073,408,மைலாப்பூர்,அ.இ.அ.தி.மு.க
206,Veppanahalli,5228,4656,3.718335579,3.668012972,DMK,Margin,ThirdFront,1078,410,வேப்பனஹள்ளி,தி.மு.க
207,Kilpennathur,34666,4613,4.539903733,3.663983455,DMK,Margin,ThirdFront,1083,412,கீழ்பெண்ணாத்தூர்,தி.மு.க
208,Vedaranyam,22998,4594,4.36169007,3.662190991,AIADMK,Margin,ThirdFront,1088,414,வேதாரண்யம்,அ.இ.அ.தி.மு.க
209,Melur,19723,4579,4.294972975,3.660770644,AIADMK,Margin,ThirdFront,1093,416,மேலூர்,அ.இ.அ.தி.மு.க
210,Rasipuram,9631,4341,3.983671383,3.637589786,AIADMK,Margin,ThirdFront,1098,418,இராசிபுரம்,அ.இ.அ.தி.மு.க
211,Namakkal,13534,4341,4.131426172,3.637589786,AIADMK,Margin,ThirdFront,1103,420,நாமக்கல்,அ.இ.அ.தி.மு.க
212,Krishnagiri,4891,4199,3.689397663,3.623145875,DMK,Margin,ThirdFront,1108,422,கிருஷ்ணகிரி,தி.மு.க
213,Dr.Radhakrishnan Nagar,39545,4195,4.59709158,3.622731965,AIADMK,Margin,ThirdFront,1113,424,ராதாகிருஷ்ணன் நகர்,அ.இ.அ.தி.மு.க
214,Kilvaithinankuppam,9746,4170,3.988826407,3.620136055,AIADMK,Margin,ThirdFront,1118,426,கீழ்வைத்தனன் குப்பம்,அ.இ.அ.தி.மு.க
215,Salem (North),9873,4157,3.994449137,3.618780025,DMK,Margin,ThirdFront,1123,428,சேலம் (வடக்கு),தி.மு.க
216,Coonoor,3710,3989,3.56937391,3.600864036,AIADMK,Margin,ThirdFront,1128,430,குன்னூர்,அ.இ.அ.தி.மு.க
217,Salem (South),30453,3983,4.483630082,3.600210306,AIADMK,Margin,ThirdFront,1133,432,சேலம் (தெற்கு),அ.இ.அ.தி.மு.க
218,Tirupattur,7647,3968,3.88349109,3.598571663,DMK,Margin,ThirdFront,1138,434,திருப்பத்தூர் - (சிவகங்கை),தி.மு.க
219,Paramakudi,11389,3780,4.056485593,3.5774918,AIADMK,Margin,ThirdFront,1143,436,பரமக்குடி,அ.இ.அ.தி.மு.க
220,Athoor,27147,3741,4.433721843,3.572987708,DMK,Margin,ThirdFront,1148,438,ஆத்தூர் (திண்டுக்கல்),தி.மு.க
221,Oddanchatram,65727,3684,4.81774381,3.566319622,DMK,Margin,ThirdFront,1153,440,ஒட்டன்சாத்திரம்,தி.மு.க
222,Jolarpet,10991,3509,4.041037208,3.545183368,AIADMK,Margin,ThirdFront,1158,442,ஜோலார்பேட்டை,அ.இ.அ.தி.மு.க
223,Valparai,8244,3494,3.916137983,3.543322901,AIADMK,Margin,ThirdFront,1163,444,வால்பாறை,அ.இ.அ.தி.மு.க
224,Royapuram,8031,3191,3.904769626,3.503926804,AIADMK,Margin,ThirdFront,1168,446,ராயப்புரம்,அ.இ.அ.தி.மு.க
225,Gudiyattam,11470,3140,4.059563418,3.496929648,AIADMK,Margin,ThirdFront,1173,448,குடியாத்தம்,அ.இ.அ.தி.மு.க
226,Udhagamandalam,10418,3111,4.017784353,3.492900011,INC,Margin,ThirdFront,1178,450,உதகமண்டலம்,இ.தே.க
227,Viralimalai,8447,2979,3.926702494,3.474070503,AIADMK,Margin,ThirdFront,1183,452,விராலிமலை,அ.இ.அ.தி.மு.க
228,Bargur,982,2948,2.992111488,3.469527479,AIADMK,Margin,ThirdFront,1188,454,பர்கூர்,அ.இ.அ.தி.மு.க
229,Anaikattu,8768,2633,3.942900541,3.420450859,DMK,Margin,ThirdFront,1193,456,அணைக்கட்டு,தி.மு.க
230,Vellore,26210,2590,4.418467021,3.413299764,DMK,Margin,ThirdFront,1198,458,வேலூர்,தி.மு.க
231,Katpadi,23946,2163,4.379232978,3.335056519,DMK,Margin,ThirdFront,2003,460,காட்பாடி,தி.மு.க
232,Harbour,4836,1970,3.684486292,3.294466226,DMK,Margin,ThirdFront,2008,462,துறைமுகம்,தி.மு.க
