CONUM,CONAME,MARGIN,3F,LOG(MAR),LOG(3F),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
16,Avadi,1395,22848,3.144574208,4.35884819,AIADMK,Margin,ThirdFront,128,30,ஆவடி,அ.இ.அ.தி.மு.க
17,Jayankondam,22934,21405,4.360479808,4.330515232,AIADMK,Margin,ThirdFront,133,32,ஜெயங்கொண்டம்,அ.இ.அ.தி.மு.க
18,Vaniyambadi,14526,21090,4.16214604,4.32407658,AIADMK,Margin,ThirdFront,138,34,வாணியம்பாடி,அ.இ.அ.தி.மு.க
19,Kurinjipadi,28108,21063,4.448829945,4.323520228,DMK,Margin,ThirdFront,143,36,குறிஞ்சிபாடி,தி.மு.க
20,Sankarankovil,14489,20807,4.161038412,4.318209467,AIADMK,Margin,ThirdFront,148,38,சங்கரன்கோவில்,அ.இ.அ.தி.மு.க
21,Cuddalore,24413,20608,4.387621151,4.314035846,AIADMK,Margin,ThirdFront,153,40,கடலூர்,அ.இ.அ.தி.மு.க
22,Thirumangalam,23590,20589,4.372727941,4.313635254,AIADMK,Margin,ThirdFront,158,42,திருமங்கலம்,அ.இ.அ.தி.மு.க
23,Tiruppur (North),37774,20061,4.577192976,4.302352578,AIADMK,Margin,ThirdFront,163,44,திருப்பூர் (வடக்கு),அ.இ.அ.தி.மு.க
24,Madurai West,16398,19991,4.214790882,4.300834519,AIADMK,Margin,ThirdFront,168,46,மதுரை (மேற்கு),அ.இ.அ.தி.மு.க
25,Kunnam,18796,19853,4.274065436,4.297826143,AIADMK,Margin,ThirdFront,173,48,குன்னம்,அ.இ.அ.தி.மு.க
26,Maduravoyal,8402,19612,3.924382677,4.292521885,AIADMK,Margin,ThirdFront,178,50,மதுரவாயல்,அ.இ.அ.தி.மு.க
27,Madurai South,23763,19443,4.375901268,4.288763276,AIADMK,Margin,ThirdFront,183,52,மதுரை (தெற்கு),அ.இ.அ.தி.மு.க
28,Srivilliputhur,36673,19415,4.564346438,4.288137395,AIADMK,Margin,ThirdFront,188,54,திருவில்லிபுத்தூர்,அ.இ.அ.தி.மு.க
29,Papanasam,24365,18599,4.386766416,4.269489594,AIADMK,Margin,ThirdFront,193,56,பாபநாசம்,அ.இ.அ.தி.மு.க
30,Vridhachalam,13777,18563,4.139154658,4.268648165,AIADMK,Margin,ThirdFront,198,58,விருதாச்சலம்,அ.இ.அ.தி.மு.க
31,Panruti,3128,18409,3.495266744,4.265030198,AIADMK,Margin,ThirdFront,203,60,பண்ரூட்டி,அ.இ.அ.தி.மு.க
32,Cheyyur,304,17927,2.482873584,4.253507618,DMK,Margin,ThirdFront,208,62,செய்யூர்,தி.மு.க
